

Receptionists Logins:

"1","John","Smith","Password123!","1234","1234567890","john.smith@example.com"
"2","Alice","Johnson","Securepass1*","9876","9876543210","alice.j@example.com"
"3","John","Doe","P@ss456","2222","1112223333","receptionist2@example.com"
"4","Amy","Doe","Secure321!","3333","2223334444","receptionist3@example.com"
"5","Paul","Lent","!123Pass","4444","3334445555","receptionist4@example.com"
"6","Matt","Lent","Password987*","5555","4445556666","receptionist5@example.com"
"7","John","Lent","$Secure789","4555","5556667777","receptionist6@example.com"
"8","Peter","Castillo","Pass123.","7777","6667778888","receptionist7@example.com"
"9","Rob","Frost","Abc456!","8888","7778889999","receptionist8@example.com"
"10","Tristan","Jones","Xyz123(","9999","8889990000","receptionist9@example.com"
"11","Johnathan","Banks","Adminpass2!","0101","9990001111","receptionist10@example.com"
"12","Darren","Banks","P@ssword456","1111","0001112222","receptionist11@example.com"
"13","Lauren","Castillo","Secret123!","2121","1142223333","receptionist12@example.com"
"14","Mary","Banks","Myp@ssword4","3131","2223335555","receptionist13@example.com"
"15","Funke","Adeyinka","Testpass&1","4141","3334445555","receptionist14@example.com"
"16","Oluwaseun","Adetutu","Pass7899^","5151","4445557777","receptionist15@example.com"
"17","Femilade","Odunsi","Se%cure555","6161","5556667777","receptionist16@example.com"
"18","Oluwatunde","Ashaju","Admin123*","7171","6667778888","receptionist17@example.com"
"19","Akin","Adeyinka","Welcome12$3","8181","7778889999","receptionist18@example.com"
"20","Hasuan","Adeyinka","P@ssw0rd","9191","8889994444","receptionist19@example.com"


